fish0_x;fish0_y;fish0_ori;fish1_x;fish1_y;fish1_ori;time in ms
-0.374154;-0.09294800000000003;-0.25812530717958637;-0.22764500000000004;0.33967400000000003;0.0;571408.0
-0.373545;-0.09232399999999996;-0.3025253071795868;-0.22764500000000004;0.33967400000000003;0.0;571455.0
-0.373544;-0.09232399999999996;-0.2825153071795867;-0.22764500000000004;0.33967400000000003;0.0;571504.0
-0.372935;-0.0917;-0.258135307179586;-0.22764500000000004;0.33967400000000003;0.0;571546.0
-0.371707;-0.09169400000000005;-0.3255753071795864;-0.22764500000000004;0.33967400000000003;0.0;571597.0
-0.371711;-0.09107300000000007;-0.31492530717958633;-0.22764500000000004;0.33967400000000003;0.0;571641.0
-0.371711;-0.09107300000000007;-0.31492530717958633;-0.22764500000000004;0.33967400000000003;0.0;571687.0
-0.370483;-0.09106700000000001;-0.31492530717958633;-0.22764500000000004;0.33967400000000003;0.0;571733.0
-0.369259;-0.09043900000000005;-0.39013530717958655;-0.22764500000000004;0.33967400000000003;0.0;571785.0
-0.36926800000000004;-0.089198;-0.3901453071795862;-0.22764500000000004;0.33967400000000003;0.0;571829.0
-0.368649;-0.08981499999999998;-0.3706153071795866;-0.22764500000000004;0.33967400000000003;0.0;571879.0
-0.368031;-0.09043299999999999;-0.3901453071795862;-0.22764500000000004;0.33967400000000003;0.0;571921.0
-0.36865800000000004;-0.08857399999999993;-0.3706153071795866;-0.22764500000000004;0.33967400000000003;0.0;571971.0
-0.36743000000000003;-0.08856799999999998;-0.4353153071795868;-0.22764500000000004;0.33967400000000003;0.0;572017.0
-0.36743800000000004;-0.08732700000000004;-0.4353153071795868;-0.22764500000000004;0.33967400000000003;0.0;572061.0
-0.366201;-0.088561;-0.4353153071795868;-0.22764500000000004;0.33967400000000003;0.0;572107.0
-0.365587;-0.08855800000000003;-0.4663253071795861;-0.22764500000000004;0.33967400000000003;0.0;572159.0
-0.365601;-0.086696;-0.4820853071795863;-0.22764500000000004;0.33967400000000003;0.0;572203.0
-0.364991;-0.08607200000000004;-0.496405307179586;-0.22764500000000004;0.33967400000000003;0.0;572251.0
-0.364381;-0.08544799999999997;-0.5167853071795863;-0.22764500000000004;0.33967400000000003;0.0;572294.0
-0.363763;-0.08606499999999995;-0.5303153071795865;-0.22764500000000004;0.33967400000000003;0.0;572343.0
-0.363153;-0.08544200000000002;-0.5425853071795865;-0.22764500000000004;0.33967400000000003;0.0;572391.0
-0.362548;-0.08419699999999997;-0.5713153071795869;-0.22764500000000004;0.33967400000000003;0.0;572435.0
-0.361929;-0.08481400000000006;-0.5606653071795868;-0.22764500000000004;0.33967400000000003;0.0;572481.0
-0.361324;-0.08357000000000003;-0.5899053071795857;-0.22764500000000004;0.33967400000000003;0.0;572531.0
-0.361328;-0.08294999999999997;-0.5713253071795865;-0.22764500000000004;0.33967400000000003;0.0;572579.0
-0.361333;-0.08232899999999999;-0.5899053071795857;-0.22764500000000004;0.33967400000000003;0.0;572631.0
-0.360719;-0.08232600000000001;-0.6180553071795858;-0.22764500000000004;0.33967400000000003;0.0;572668.0
-0.3601;-0.08294299999999999;-0.6655853071795859;-0.22764500000000004;0.33967400000000003;0.0;572721.0
-0.359499;-0.08107799999999998;-0.6180653071795863;-0.22764500000000004;0.33967400000000003;0.0;572766.0
-0.358885;-0.08107500000000001;-0.6871953071795858;-0.22764500000000004;0.33967400000000003;0.0;572812.0
-0.358885;-0.08107500000000001;-0.6871953071795858;-0.22764500000000004;0.33967400000000003;0.0;572859.0
-0.358885;-0.08107500000000001;-0.6871953071795858;-0.22764500000000004;0.33967400000000003;0.0;572912.0
-0.35889000000000004;-0.08045400000000003;-0.7100153071795869;-0.22764500000000004;0.33967400000000003;0.0;572956.0
-0.35828;-0.07983000000000007;-0.7137453071795861;-0.22764500000000004;0.33967400000000003;0.0;573000.0
-0.35828899999999997;-0.07858999999999994;-0.7137453071795861;-0.22764500000000004;0.33967400000000003;0.0;573043.0
-0.35767499999999997;-0.07858600000000004;-0.7341453071795865;-0.22764500000000004;0.33967400000000003;0.0;573092.0
-0.35767499999999997;-0.07858600000000004;-0.7341453071795865;-0.22764500000000004;0.33967400000000003;0.0;573139.0
-0.35706099999999996;-0.07858299999999996;-0.7610253071795867;-0.22764500000000004;0.33967400000000003;0.0;573188.0
-0.35706499999999997;-0.07796199999999998;-0.7367753071795864;-0.22764500000000004;0.33967400000000003;0.0;573233.0
-0.356456;-0.07733800000000002;-0.7866253071795866;-0.22764500000000004;0.33967400000000003;0.0;573282.0
-0.355842;-0.07733500000000004;-0.8109753071795867;-0.22764500000000004;0.33967400000000003;0.0;573329.0
-0.35646900000000004;-0.07547700000000002;-0.8122253071795864;-0.22764500000000004;0.33967400000000003;0.0;573376.0
-0.35646900000000004;-0.07547800000000005;-0.7622953071795857;-0.22764500000000004;0.33967400000000003;0.0;573420.0
-0.355246;-0.07484999999999997;-0.8391553071795856;-0.22764500000000004;0.33967400000000003;0.0;573473.0
-0.35524100000000003;-0.07547099999999995;-0.812235307179586;-0.22764500000000004;0.33967400000000003;0.0;573515.0
-0.354022;-0.07422300000000004;-0.8596153071795865;-0.22764500000000004;0.33967400000000003;0.0;573561.0
-0.35464;-0.07360599999999995;-0.8109953071795859;-0.22764500000000004;0.33967400000000003;0.0;573611.0
-0.354645;-0.072986;-0.8914553071795863;-0.22764500000000004;0.33967400000000003;0.0;573660.0
-0.354026;-0.07360299999999997;-0.8862453071795864;-0.22764500000000004;0.33967400000000003;0.0;573703.0
-0.354654;-0.07174500000000006;-0.8914553071795863;-0.22764500000000004;0.33967400000000003;0.0;573753.0
-0.354044;-0.07112099999999999;-0.886255307179586;-0.22764500000000004;0.33967400000000003;0.0;573793.0
-0.354049;-0.07050100000000004;-0.9141153071795864;-0.22764500000000004;0.33967400000000003;0.0;573844.0
-0.352816;-0.07111400000000001;-0.9432353071795863;-0.22764500000000004;0.33967400000000003;0.0;573894.0
-0.35220700000000005;-0.07049100000000008;-0.9355253071795868;-0.22764500000000004;0.33967400000000003;0.0;573936.0
-0.35283;-0.06925300000000001;-0.9141253071795861;-0.22764500000000004;0.33967400000000003;0.0;573982.0
-0.352216;-0.06924999999999992;-0.994245307179586;-0.22764500000000004;0.33967400000000003;0.0;574032.0
-0.35222;-0.06862999999999997;-0.964285307179586;-0.22764500000000004;0.33967400000000003;0.0;574078.0
-0.352225;-0.06800899999999999;-0.994245307179586;-0.22764500000000004;0.33967400000000003;0.0;574126.0
-0.352238;-0.06614799999999998;-1.0254553071795858;-0.22764500000000004;0.33967400000000003;0.0;574170.0
-0.351615;-0.06738599999999995;-1.0442253071795866;-0.22764500000000004;0.33967400000000003;0.0;574221.0
-0.351628;-0.06552500000000006;-1.0136153071795864;-0.22764500000000004;0.33967400000000003;0.0;574268.0
-0.351633;-0.06490399999999996;-1.0442353071795862;-0.22764500000000004;0.33967400000000003;0.0;574314.0
-0.351633;-0.06490399999999996;-1.0442353071795862;-0.22764500000000004;0.33967400000000003;0.0;574356.0
-0.351642;-0.06366399999999994;-1.1089353071795864;-0.22764500000000004;0.33967400000000003;0.0;574408.0
-0.351023;-0.06428100000000003;-1.031855307179586;-0.22764500000000004;0.33967400000000003;0.0;574456.0
-0.351032;-0.06303999999999998;-1.092995307179586;-0.22764500000000004;0.33967400000000003;0.0;574504.0
-0.351028;-0.06366000000000005;-1.125135307179586;-0.22764500000000004;0.33967400000000003;0.0;574546.0
-0.35104599999999997;-0.06117899999999998;-1.1251453071795865;-0.22764500000000004;0.33967400000000003;0.0;574596.0
-0.35043199999999997;-0.06117600000000001;-1.140335307179586;-0.22764500000000004;0.33967400000000003;0.0;574644.0
-0.35104599999999997;-0.06117899999999998;-1.1251453071795865;-0.22764500000000004;0.33967400000000003;0.0;574686.0
-0.350437;-0.06055599999999994;-1.1430053071795863;-0.22764500000000004;0.33967400000000003;0.0;574731.0
-0.350445;-0.05931500000000001;-1.1726853071795862;-0.22764500000000004;0.33967400000000003;0.0;574784.0
-0.35045000000000004;-0.05869500000000005;-1.205955307179586;-0.22764500000000004;0.33967400000000003;0.0;574830.0
-0.35045000000000004;-0.05869500000000005;-1.205955307179586;-0.22764500000000004;0.33967400000000003;0.0;574880.0
-0.34923099999999996;-0.057447999999999944;-1.2059653071795866;-0.22764500000000004;0.33967400000000003;0.0;574918.0
-0.34923099999999996;-0.057447999999999944;-1.2751153071795862;-0.22764500000000004;0.33967400000000003;0.0;574968.0
-0.350464;-0.05683399999999994;-1.3108853071795865;-0.22764500000000004;0.33967400000000003;0.0;575015.0
-0.35047700000000004;-0.05497399999999997;-1.2751153071795862;-0.22764500000000004;0.33967400000000003;0.0;575062.0
-0.349854;-0.05621100000000001;-1.2638253071795864;-0.22764500000000004;0.33967400000000003;0.0;575108.0
-0.35048199999999996;-0.054352999999999985;-1.3108953071795861;-0.22764500000000004;0.33967400000000003;0.0;575159.0
-0.35048599999999996;-0.05373300000000003;-1.2751253071795867;-0.22764500000000004;0.33967400000000003;0.0;575207.0
-0.349258;-0.05372599999999994;-1.3473853071795858;-0.22764500000000004;0.33967400000000003;0.0;575251.0
-0.348653;-0.05248300000000006;-1.3555853071795863;-0.22764500000000004;0.33967400000000003;0.0;575295.0
-0.34989000000000003;-0.05124899999999999;-1.3555853071795863;-0.22764500000000004;0.33967400000000003;0.0;575347.0
