;0;1;2;3;4
0;0.893268218;-0.5397819;1.510549875;-4.958979416;1
1;0.88247258;-0.336401283;1.411370286;-4.683881136;1
2;0.875744555;-0.136643058;1.317692664;-4.441177371;1
3;0.873011693;0.060136331;1.228869116;-4.230457514;1
4;0.87421442;0.254551276;1.144259966;-4.051259086;1
5;0.879305446;0.447167711;1.063234784;-3.903134157;1
6;0.8882488;0.638494701;0.985172101;-3.785689108;1
7;0.901018694;0.828982706;0.909458319;-3.698608852;1
8;0.917598348;1.019025577;0.835486142;-3.64167142;1
9;0.93797886;1.208964164;0.762652713;-3.614755457;1
10;0.962158143;1.399089984;0.690357604;-3.617841117;1
11;0.990139942;1.589647746;0.618000782;-3.651003404;1
12;1.021932897;1.780835716;0.544980714;-3.7143961;1
13;1.057549612;1.972803008;0.470692792;-3.808223615;1
14;1.097005672;1.781184587;0.39452832;-3.418722366;0
15;1.132629364;1.587450838;0.326153872;-3.037440674;0
16;1.16437838;1.392325727;0.265405059;-2.665984817;0
17;1.192224895;1.196378987;0.212085362;-2.305239679;0
18;1.216152475;1.000033735;0.165980569;-1.955434043;0
19;1.236153149;0.803583589;0.126871888;-1.616234064;0
20;1.252224821;0.607214082;0.094547207;-1.286846919;0
21;1.264369103;0.411024716;0.068810268;-0.966121736;0
22;1.272589597;0.215049437;0.049487834;-0.65264022;0
23;1.276890586;0.019274526;0.036435029;-0.344793892;0
24;1.277276076;-0.176346276;0.029539151;-0.040847904;0
25;1.273749151;-0.371879088;0.028722193;0.261006608;0
26;1.266311569;-0.567399023;0.033942325;0.562608711;0
27;1.254963589;-0.762980422;0.0451945;0.86578896;0
28;1.23970398;-0.958687377;0.062510279;1.172332298;0
29;1.220530233;-1.154563791;0.085956925;1.483939115;0
30;1.197438957;-0.960588695;0.115635707;1.21929094;1
31;1.178227183;-0.767131478;0.140021526;0.964964263;1
32;1.162884553;-0.574139768;0.159320811;0.719341857;1
33;1.151401758;-0.381538852;0.173707648;0.480741755;1
34;1.143770981;-0.18923966;0.183322483;0.247447513;1
35;1.139986188;0.002855473;0.188271434;0.017728524;1
36;1.140043297;0.194848647;0.188626004;-0.210146854;1
37;1.14394027;0.386843277;0.184423067;-0.43790285;1
38;1.151677136;0.578941529;0.17566501;-0.667250339;1
39;1.163255966;0.771241856;0.162320003;-0.899881423;1
40;1.178680803;0.963836202;0.144322375;-1.13746267;1
41;1.197957527;1.156806458;0.121573121;-1.381625124;1
42;1.221093657;1.350219712;0.093940619;-1.633949139;1
43;1.248098051;1.544121816;0.061261636;-1.895941933;1
44;1.278980487;1.738528769;0.023342798;-2.16900567;1
45;1.313751062;1.543187086;-0.020037316;-1.869210813;0
46;1.344614804;1.34828985;-0.057421532;-1.582814221;0
47;1.371580601;1.153896174;-0.089077817;-1.308576951;0
48;1.394658525;0.960008638;-0.115249356;-1.045052994;0
49;1.413858697;0.766589558;-0.136150415;-0.790657398;0
50;1.429190489;0.573573567;-0.151963563;-0.543717383;0
51;1.44066196;0.380877043;-0.162837911;-0.302509155;0
52;1.448279501;0.188405035;-0.168888094;-0.065283461;0
53;1.452047601;-0.003943667;-0.170193763;0.169717172;0
54;1.451968728;-0.196272699;-0.16679942;0.404246801;0
55;1.448043274;-0.38868501;-0.158714484;0.640047638;0
56;1.440269574;-0.581279945;-0.145913531;0.878842631;0
57;1.428643975;-0.77415008;-0.128336679;1.122327014;0
58;1.413160973;-0.967377327;-0.105890138;1.372156781;0
59;1.393813427;-1.161027845;-0.078447003;1.629932011;0
60;1.37059287;-1.355145248;-0.045848362;1.897172866;0
61;1.343489965;-1.159557687;-0.007904905;1.590625128;1
62;1.320298811;-0.964342777;0.023907597;1.295487894;1
63;1.301011956;-0.76953257;0.049817355;1.010384254;1
64;1.285621304;-0.575109571;0.07002504;0.733751811;1
65;1.274119113;-0.381021374;0.084700077;0.463903549;1
66;1.266498685;-0.187192087;0.093978148;0.199073967;1
67;1.262754844;0.006468847;0.097959627;-0.06254666;1
68;1.262884221;0.200059762;0.096708694;-0.322786768;1
69;1.266885416;0.393681126;0.090252958;-0.583473672;1
70;1.274759038;0.587430506;0.078583485;-0.84641653;1
71;1.286507649;0.781397493;0.061655154;-1.113389338;1
72;1.302135598;0.975658012;0.039387368;-1.386111318;1
73;1.321648759;1.170267406;0.011665141;-1.666222113;1
74;1.345054107;0.975011714;-0.021659301;-1.369929028;0
75;1.364554341;0.780167325;-0.049057882;-1.084098334;0
76;1.380157688;0.585725793;-0.070739848;-0.807204167;0
77;1.391872203;0.39164099;-0.086883932;-0.537585251;0
78;1.399705023;0.197841131;-0.097635637;-0.273493742;0
79;1.403661846;0.004238035;-0.103105511;-0.013131465;0
80;1.403746606;-0.189265721;-0.103368141;0.245323378;0
81;1.399961292;-0.382771068;-0.098461673;0.503695937;0
82;1.392305871;-0.576377481;-0.088387754;0.763797994;0
83;1.380778321;-0.770178159;-0.073111795;1.027412038;0
84;1.365374758;-0.964254766;-0.052563554;1.296273518;0
85;1.346089663;-0.768506032;-0.026638083;0.987609383;1
86;1.330719542;-0.573037724;-0.006885896;0.686680271;1
87;1.319258787;-0.377820867;0.00684771;0.39183749;1
88;1.31170237;-0.182796762;0.014684459;0.101321403;1
89;1.308046435;0.012111695;0.016710887;-0.186692686;1
90;1.308288669;0.206990619;0.012977034;-0.474057485;1
91;1.312428481;0.401926924;0.003495884;-0.762622182;1
92;1.32046702;0.597000549;-0.01175656;-1.054203043;1
93;1.332407031;0.402036413;-0.03284062;-0.765233399;0
94;1.340447759;0.207381703;-0.048145288;-0.483062179;0
95;1.344595393;0.012971151;-0.057806532;-0.205933511;0
96;1.344854816;-0.181278563;-0.061925202;0.067968712;0
97;1.341229245;-0.375460548;-0.060565828;0.340489015;0
98;1.333720034;-0.569670802;-0.053756048;0.613474786;0
99;1.322326618;-0.764001975;-0.041486552;0.888753808;0
100;1.307046578;-0.958537107;-0.023711476;1.168111878;0
101;1.287875836;-0.763114826;-0.000349238;0.868090337;1
102;1.27261354;-0.567988124;0.017012569;0.575297627;1
103;1.261253777;-0.373108745;0.028518521;0.288022313;1
104;1.253791602;-0.178404845;0.034278967;0.00446853;1
105;1.250223505;0.016209155;0.034368338;-0.277204934;1
106;1.250547688;0.210824364;0.028824239;-0.558853056;1
107;1.254764176;0.405530111;0.017647178;-0.842317205;1
108;1.262874778;0.600406803;0.000800834;-1.129398726;1
109;1.274882914;0.795518256;-0.021787141;-1.421830367;1
110;1.290793279;0.600672465;-0.050223748;-1.136035956;0
111;1.302806728;0.40624223;-0.072944467;-0.859517929;0
112;1.310931573;0.212185593;-0.090134826;-0.590633706;0
113;1.315175285;0.018433549;-0.1019475;-0.327649185;0
114;1.315543956;-0.175100424;-0.108500483;-0.068776184;0
115;1.312041947;-0.368513052;-0.109876007;0.18780015;0
116;1.304671686;-0.561905495;-0.106120004;0.443900906;0
117;1.293433576;-0.755378467;-0.097241986;0.701337051;0
118;1.278326007;-0.949027626;-0.083215245;0.961894403;0
119;1.259345455;-1.142938654;-0.063977357;1.227317377;0
120;1.236486681;-0.947054217;-0.039431009;0.915295334;1
121;1.217545597;-0.751421818;-0.021125103;0.610485121;1
122;1.202517161;-0.556011053;-0.0089154;0.311224056;1
123;1.19139694;-0.360763227;-0.002690919;0.015742863;1
124;1.184181675;-0.555846483;-0.002376062;0.30757556;0
125;1.173064745;-0.750934497;0.003775449;0.599508193;0
126;1.158046056;-0.946109066;0.015765613;0.893377939;0
127;1.139123874;-1.141441254;0.033633172;1.190974707;0
128;1.116295049;-1.336982478;0.057452666;1.494006952;0
129;1.0895554;-1.5327543;0.087332805;1.804061957;0
130;1.058900314;-1.728736326;0.123414044;2.122557859;0
131;1.024325587;-1.535040096;0.165865202;1.870415043;1
132;0.993624785;-1.342074873;0.203273502;1.633480708;1
133;0.966783288;-1.149836253;0.235943117;1.410411479;1
134;0.943786563;-0.958286093;0.264151346;1.199772245;1
135;0.924620841;-0.767364319;0.288146791;1.000083434;1
136;0.909273554;-0.576997423;0.30814846;0.809853432;1
137;0.897733606;-0.387104346;0.324345528;0.627599363;1
138;0.889991519;-0.197600363;0.336897516;0.451859058;1
139;0.886039512;-0.008399521;0.345934697;0.28119657;1
140;0.885871521;0.180583971;0.351558628;0.114203096;1
141;0.889483201;0.369435068;0.35384269;-0.050505247;1
142;0.896871902;0.558237669;0.352832585;-0.214291672;1
143;0.908036655;0.747074666;0.348546752;-0.378504125;1
144;0.922978149;0.936028094;0.340976669;-0.544481125;1
145;0.941698711;1.125179234;0.330087047;-0.713557404;1
146;0.964202295;1.314608545;0.315815899;-0.887068751;1
147;0.990494466;1.504395261;0.298074524;-1.066355401;1
148;1.020582371;1.694616482;0.276747416;-1.25276319;1
149;1.054474701;1.885345541;0.251692152;-1.447641581;1
150;1.092181612;2.076649383;0.22273932;-1.652337368;1
151;1.1337146;2.268584623;0.189692573;-1.868182655;1
152;1.179086292;2.461191864;0.15232892;-2.096475351;1
153;1.228310129;2.65448784;0.110399413;-2.338450164;1
154;1.281399886;2.458557239;0.063630409;-2.013951915;0
155;1.330571031;2.262834722;0.023351371;-1.702267555;0
156;1.375827725;2.067451803;-0.01069398;-1.402408399;0
157;1.417176761;1.87246432;-0.038742148;-1.113087869;0
158;1.454626048;1.677871975;-0.061003905;-0.832805722;0
159;1.488183487;1.483634313;-0.07766002;-0.559915225;0
160;1.517856174;1.289683337;-0.088858324;-0.292674723;0
161;1.54364984;1.095933274;-0.094711819;-0.029286214;0
162;1.565568506;0.902288163;-0.095297543;0.232075966;0
163;1.583614269;0.708647945;-0.090656024;0.493243276;0
164;1.597787228;0.514913719;-0.080791158;0.7560349;0
165;0.022997311;-0.046790519;1.506245442;-4.94507865;1
166;0.022061501;0.156409502;1.407343869;-4.67135241;1
167;0.025189691;0.356015784;1.313916821;-4.429992611;1
168;0.032310006;0.552671;1.225316969;-4.220583913;1
169;0.043363426;0.746987514;1.140905291;-4.0426627;1
170;0.058303177;0.93952869;1.060052037;-3.895782003;1
171;0.07709375;1.130800847;0.982136397;-3.779550414;1
172;0.099709767;1.321251749;0.906545388;-3.693655818;1
173;0.126134802;1.511272719;0.832672272;-3.637879659;1
174;0.156360257;1.701202286;0.759914679;-3.612104203;1
175;0.190384302;1.89132984;0.687672595;-3.61631319;1
176;0.228210899;2.081898103;0.615346331;-3.650584903;1
177;0.269848861;2.273103412;0.542334633;-3.715075747;1
178;0.315310929;2.465092881;0.468033118;-3.809991669;1
179;0.364612787;2.273439792;0.391833284;-3.420795611;0
180;0.410081583;2.079683446;0.323417372;-3.039914414;0
181;0.451675252;1.884547355;0.262619084;-2.668949827;0
182;0.489366199;1.688600362;0.209240087;-2.308781333;0
183;0.523138206;1.492264486;0.163064461;-1.959632243;0
184;0.552983496;1.295832209;0.123871816;-1.621163733;0
185;0.57890014;1.099487996;0.091448541;-1.292578838;0
186;0.6008899;0.903330391;0.065596964;-0.972723485;0
187;0.618956508;0.707392492;0.046142495;-0.660177066;0
188;0.633104358;0.511659813;0.032938953;-0.353329467;0
189;0.643337554;0.706298278;0.025872364;-0.635446494;1
190;0.65746352;0.901050002;0.013163434;-0.919870687;1
191;0.67548452;1.095991587;-0.005233979;-1.208387793;1
192;0.697404351;1.291180752;-0.029401735;-1.502706313;1
193;0.723227966;1.486647;-0.059455862;-1.804421829;1
194;0.752960906;1.292237199;-0.095544298;-1.530792132;0
195;0.77880565;1.09838816;-0.126160141;-1.269392063;0
196;0.800773414;0.905082522;-0.151547982;-1.018730858;0
197;0.818875064;0.712269558;-0.171922599;-0.777211037;0
198;0.833120455;0.519876123;-0.18746682;-0.543171988;0
199;0.843517978;0.327814653;-0.19833026;-0.314920289;0
200;0.850074271;0.135988885;-0.204628665;-0.09074978;0
201;0.852794048;-0.055702099;-0.206443661;0.131045827;0
202;0.851680006;-0.247360949;-0.203822745;0.352165369;0
203;0.846732787;-0.439089775;-0.196779437;0.574295578;0
204;0.837950992;-0.630988092;-0.185293526;0.799107467;0
205;0.82533123;-0.823150595;-0.169311376;1.028252024;0
206;0.808868218;-1.015664365;-0.148746336;1.263353496;0
207;0.788554931;-1.208605106;-0.123479266;1.50599849;0
208;0.764382829;-1.402031959;-0.093359296;1.757718953;0
209;0.736342189;-1.595980433;-0.058204917;2.01996697;0
210;0.704422581;-1.790452939;-0.017805578;2.294079158;0
211;0.668613522;-1.985406481;0.028076006;2.581228553;0
212;0.628905392;-1.790515731;0.079700577;2.297260899;1
213;0.593095078;-1.596212169;0.125645795;2.030137925;1
214;0.561170834;-1.402591855;0.166248553;1.77883968;1
215;0.533118997;-1.209686137;0.201825347;1.542122869;1
216;0.508925275;-1.017480735;0.232667804;1.318601395;1
217;0.48857566;-0.825930477;0.259039832;1.106806901;1
218;0.47205705;-1.023349512;0.28117597;1.468364376;0
219;0.45159006;-0.832542152;0.310543258;1.27497368;1
220;0.434939217;-0.642407455;0.336042731;1.093252833;1
221;0.422091068;-0.452873638;0.357907788;0.92180151;1
222;0.413033595;-0.263864173;0.376343818;0.759245814;1
223;0.407756312;-0.075301102;0.391528734;0.604247861;1
224;0.40625029;0.112892958;0.403613691;0.45550961;1
225;0.408508149;0.30079374;0.412723884;0.311772616;1
226;0.414524024;0.488474895;0.418959336;0.171814954;1
227;0.424293522;0.676007997;0.422395635;0.034446268;1
228;0.437813681;0.863462821;0.42308456;-0.101498382;1
229;0.455082938;1.050907793;0.421054593;-0.23716537;1
230;0.476101094;1.238410513;0.416311285;-0.373689662;1
231;0.500869304;1.426038283;0.408837492;-0.512201963;1
232;0.52939007;1.613858583;0.398593453;-0.653835589;1
233;0.561667241;1.80193942;0.385516741;-0.799732746;1
234;0.59770603;1.990349475;0.369522086;-0.951049907;1
235;0.637513019;2.179157949;0.350501088;-1.10896185;1
236;0.681096178;2.368433989;0.328321851;-1.274663824;1
237;0.728464858;2.558245515;0.302828575;-1.449371121;1
238;0.779629768;2.748657232;0.273841152;-1.634315123;1
239;0.834602913;2.939727556;0.24115485;-1.830734622;1
240;0.893397464;3.131504081;0.204540157;-2.039860881;1
241;0.956027546;2.934947778;0.16374294;-1.691456026;0
242;1.014726501;2.738356516;0.129913819;-1.352587933;0
243;1.069493632;2.541864826;0.10286206;-1.022246819;0
244;1.120330928;2.345534211;0.082417124;-0.69911935;0
245;1.167241612;2.149372154;0.068434737;-0.381671823;0
246;1.210229055;1.953348597;0.060801301;-0.068220637;0
247;1.249296027;1.757410026;0.059436888;0.2430087;0
248;1.284444228;1.561491675;0.064297062;0.55383144;0
249;1.315674061;1.365528573;0.075373691;0.866059016;0
250;1.342984633;1.169466194;0.092694871;1.181456468;0
251;1.047140825;-0.917816607;1.469510867;-5.8102834;1
252;1.028784493;-0.70666247;1.353305199;-5.549815589;1
253;1.014651243;-0.499662043;1.242308888;-5.329741669;1
254;1.004658002;-0.296036625;1.135714054;-5.149999356;1
255;0.99873727;-0.095026497;1.032714067;-5.010473891;1
256;0.99683674;0.104073752;0.932504589;-4.91107351;1
257;0.998918215;0.301894608;0.834283119;-4.851757506;1
258;1.004956107;0.49897896;0.737247969;-4.832532826;1
259;1.014935686;0.695772378;0.640597312;-4.853425998;1
260;1.028851134;0.512308892;0.543528792;-4.457074992;0
261;1.039097312;0.32453669;0.454387293;-4.063961849;0
262;1.045588045;0.133523485;0.373108056;-3.677475085;0
263;1.048258515;-0.05977778;0.299558554;-3.300305836;0
264;1.04706296;-0.254566402;0.233552437;-2.934375785;0
265;1.041971632;-0.450206428;0.174864922;-2.580841196;0
266;1.032967503;-0.646220738;0.123248098;-2.240154859;0
267;1.020043088;-0.842273712;0.078445;-1.912162843;0
268;1.003197614;-1.038148514;0.040201744;-1.596214997;0
269;0.982434644;-1.233723376;0.008277444;-1.291273607;0
270;0.957760176;-1.428949588;-0.017548028;-0.996010779;0
271;0.929181184;-1.623832519;-0.037468244;-0.708890245;0
272;0.896704534;-1.81841601;-0.051646049;-0.428232949;0
273;0.860336214;-2.012769936;-0.060210708;-0.152267966;0
274;0.820080815;-2.206980368;-0.063256067;0.120828531;0
275;0.775941208;-2.401141682;-0.060839497;0.392903135;0
276;0.727918374;-2.595349881;-0.052981434;0.665800681;0
277;0.676011376;-2.789696445;-0.03966542;0.941342215;0
278;0.620217448;-2.984262027;-0.020838576;1.221302453;0
279;0.560532207;-3.179109341;0.003587473;1.50738387;0
280;0.49695002;-3.374274605;0.03373515;1.801184597;0
281;0.429464528;-3.569756972;0.069758842;2.104157564;0
282;0.358069389;-3.375400237;0.111841994;1.83382399;1
283;0.290561384;-3.181679313;0.148518473;1.577871137;1
284;0.226927798;-2.988606062;0.180075896;1.334953549;1
285;0.167155676;-2.796151525;0.206774967;1.103596346;1
286;0.111232646;-2.6042591;0.228846894;0.882248776;1
287;0.059147464;-2.412854238;0.24649187;0.669322026;1
288;0.010890379;-2.221851324;0.25987831;0.463214417;1
289;-0.033546647;-2.031158386;0.269142598;0.262326963;1
290;-0.074169815;-1.840680214;0.274389138;0.065071814;1
291;-0.110983419;-1.650320355;0.275690574;-0.130124248;1
292;-0.143989826;-1.459982387;0.273088089;-0.324819547;1
293;-0.173189474;-1.269570796;0.266591698;-0.520559026;1
294;-0.19858089;-1.078991734;0.256180518;-0.718876288;1
295;-0.220160725;-0.88815393;0.241802992;-0.921295013;1
296;-0.237923803;-0.696970006;0.223377092;-1.12932862;1
297;-0.251863203;-0.505358484;0.200790519;-1.344476917;1
298;-0.261970373;-0.313246817;0.173900981;-1.568218363;1
299;-0.268235309;-0.120575798;0.142536614;-1.801996306;1
300;-0.270646825;0.0726942;0.106496687;-2.04719732;1
301;-0.269192941;0.266574687;0.065552741;-2.305119555;1
302;-0.263861448;0.070916318;0.01945035;-1.99300365;0
303;-0.262443121;-0.124403735;-0.020409723;-1.694360947;0
304;-0.264931196;-0.319284283;-0.054296942;-1.408101049;0
305;-0.271316882;-0.51369215;-0.082458963;-1.13287446;0
306;-0.281590725;-0.707643726;-0.105116452;-0.867151085;0
307;-0.295743599;-0.9011903;-0.122459474;-0.609281044;0
308;-0.313767405;-1.094406791;-0.134645095;-0.357539911;0
309;-0.335655541;-1.287383284;-0.141795893;-0.110161263;0
310;-0.361403207;-1.480218698;-0.143999118;0.134640418;0
311;-0.391007581;-1.673015954;-0.14130631;0.378653551;0
312;-0.4244679;-1.865878028;-0.133733239;0.6236573;0
313;-0.46178546;-2.058904333;-0.121260093;0.871410988;0
314;-0.502963547;-2.252186912;-0.103831873;1.123642781;0
315;-0.548007285;-2.44580592;-0.081359017;1.382035388;0
316;-0.596923404;-2.639823883;-0.05371831;1.648206496;0
317;-0.649719881;-2.8342782;-0.02075418;1.923681638;0
318;-0.706405445;-2.638939768;0.017719453;1.624635801;1
319;-0.759184241;-2.444030737;0.050212169;1.337527399;1
320;-0.808064855;-2.249575935;0.076962717;1.060968997;1
321;-0.853056374;-2.055552877;0.098182097;0.793400629;1
322;-0.894167432;-1.861905919;0.114050109;0.533148278;1
323;-0.93140555;-1.668557133;0.124713075;0.278467371;1
324;-0.964776693;-1.47541452;0.130282422;0.027574216;1
325;-0.994284983;-1.282378233;0.130833907;-0.221331543;1
326;-1.019932548;-1.089345454;0.126407276;-0.470050539;1
327;-1.041719457;-0.896214548;0.117006265;-0.720370633;1
328;-1.059643748;-0.702889041;0.102598852;-0.974054715;1
329;-1.073701529;-0.899226607;0.083117758;-0.650985901;0
330;-1.091686061;-1.095401841;0.07009804;-0.333330437;0
331;-1.113594097;-1.291447847;0.063431431;-0.019391671;0
332;-1.139423054;-1.487419419;0.063043598;0.292610847;0
333;-1.169171443;-1.683380938;0.068895815;0.604491725;0
334;-1.202839062;-1.879395319;0.080985649;0.918055116;0
335;-1.240426968;-2.07551322;0.099346752;1.235051552;0
336;-1.281937232;-2.271761732;0.124047783;1.557132741;0
337;-1.327372467;-2.078324612;0.155190438;1.305583222;1
338;-1.368938959;-1.885472845;0.181302102;1.065225145;1
339;-1.406648416;-1.693152332;0.202606605;0.834483931;1
340;-1.440511463;-1.501288924;0.219296284;0.611735204;1
341;-1.470537241;-1.309795814;0.231530988;0.395332293;1
342;-1.496733158;-1.118578697;0.239437634;0.18362378;1
343;-1.519104732;-0.927539277;0.243110109;-0.025036283;1
344;-1.537655517;-0.736577658;0.242609384;-0.232283187;1
345;-1.55238707;-0.545594016;0.23796372;-0.439739543;1
346;-1.563298951;-0.354489949;0.229168929;-0.649014752;1
347;-1.57038875;-0.163169819;0.216188634;-0.861704533;1
348;-1.573652146;0.028457588;0.198954543;-1.079389108;1
349;-1.573082994;0.220476748;0.177366761;-1.303628606;1
350;-1.568673459;0.412962098;0.151294189;-1.535954132;1
351;-1.560414217;0.605973312;0.120575106;-1.777852767;1
352;-1.548294751;0.799548738;0.085018051;-2.030744512;1
353;-1.532303776;0.603658369;0.044403161;-1.713005044;0
354;-1.520230609;0.408055725;0.01014306;-1.406840034;0
355;-1.512069494;0.212809372;-0.017993741;-1.111003562;0
356;-1.507813307;0.017928371;-0.040213812;-0.824019256;0
357;-1.507454739;-0.176621101;-0.056694197;-0.544250653;0
358;-1.510987161;-0.370902447;-0.06757921;-0.269956024;0
359;-1.51840521;-0.564998201;-0.072978331;0.000669873;0
360;-1.529705174;-0.75900178;-0.072964933;0.269464072;0
361;-1.54488521;-0.562918528;-0.067575652;-0.045310871;1
362;-1.556143581;-0.366895924;-0.068481869;-0.358525809;1
363;-1.563481499;-0.170870653;-0.075652385;-0.671992436;1
364;-1.566898912;0.025216871;-0.089092234;-0.987503017;1
365;-1.566394575;0.22141149;-0.108842295;-1.306786237;1
366;-1.561966345;0.417731618;-0.134978019;-1.63146034;1
367;-1.553611713;0.224428714;-0.167607226;-1.383706472;0
368;-1.549123138;0.031746481;-0.195281356;-1.147779411;0
369;-1.548488209;-0.160365625;-0.218236944;-0.922136942;0
370;0.147250685;1.528085091;4.509281457;-0.222890512;0
371;0.177812387;1.343069178;4.504823647;-0.566827623;0
372;0.204673771;1.15773369;4.493487094;-0.911807453;0
373;0.227828444;0.971746966;4.475250945;-1.259374299;0
374;0.247263384;0.784772191;4.450063459;-1.611033155;0
375;0.262958828;0.596464812;4.417842796;-1.968225116;0
376;0.274888124;0.406472367;4.378478294;-2.332297516;0
377;0.283017571;0.214437922;4.331832343;-2.704465389;0
378;0.28730633;0.020008642;4.277743036;-3.085759491;0
379;0.287706502;-0.17714859;4.216027846;-3.47695433;0
380;0.284163531;-0.377322145;4.146488759;-3.878467464;0
381;0.276617088;-0.580718547;4.06891941;-4.290219084;0
382;0.265002717;-0.787410562;3.983115028;-4.711439639;0
383;0.249254506;-0.997268552;3.888886235;-5.140414721;0
384;0.229309135;-1.209875435;3.786077941;-5.574164193;0
385;0.205111626;-1.424430633;3.674594657;-6.008071654;0
386;0.176623013;-1.639657197;3.554433224;-6.435516592;0
387;0.143829869;-1.853739454;3.425722892;-6.847617328;0
388;0.10675508;-2.064333278;3.288770546;-7.233257552;0
389;0.065468415;-2.268699487;3.144105395;-7.579606974;0
390;0.020094425;-2.463998221;2.992513255;-7.873292896;0
391;-0.02918554;-2.647734619;2.835047397;-8.102173376;0
392;-0.082140232;-2.818267873;2.67300393;-8.257328897;0
393;-0.138505589;-2.590720638;2.507857352;-7.820021688;1
394;-0.190320002;-2.359362463;2.351456918;-7.366276982;1
395;-0.237507251;-2.128004473;2.204131378;-6.913178141;1
396;-0.280067341;-1.899328809;2.065867816;-6.473189199;1
397;-0.318053917;-1.674951586;1.936404032;-6.054587786;1
398;-0.351552949;-1.455637262;1.815312276;-5.66240636;1
399;-0.380665694;-1.241543642;1.702064149;-5.299407674;1
400;-0.405496567;-1.032436054;1.596075995;-4.966881529;1
401;-0.426145288;-0.827851248;1.496738365;-4.665218538;1
