fish0_x;fish0_y;fish0_ori;fish1_x;fish1_y;fish1_ori
-0.355593;0.11208399999999996;-1.5762453071795859;-0.278623;-0.330884;2.38419e-07
-0.355588;0.11270499999999994;-1.5388353071795864;-0.278623;-0.330884;2.38419e-07
-0.354983;0.11146;-1.5373953071795858;-0.278623;-0.330884;2.38419e-07
-0.354983;0.11146;-1.615095307179586;-0.278623;-0.330884;2.38419e-07
-0.355628;0.10711899999999996;-1.5762453071795859;-0.278623;-0.330884;2.38419e-07
-0.355019;0.106495;-1.612325307179586;-0.278623;-0.330884;2.38419e-07
-0.35566;0.10277400000000003;-1.6136653071795868;-0.278623;-0.330884;2.38419e-07
-0.355068;0.09966799999999998;-1.5762553071795855;-0.278623;-0.330884;2.38419e-07
-0.356332;0.09471000000000007;-1.576265307179587;-0.278623;-0.330884;2.38419e-07
-0.356341;0.09346900000000002;-1.576265307179587;-0.278623;-0.330884;2.38419e-07
-0.356363;0.09036599999999995;-1.537435307179586;-0.278623;-0.330884;2.38419e-07
-0.356394;0.08602299999999996;-1.5762753071795865;-0.278623;-0.330884;2.38419e-07
-0.356417;0.08292100000000002;-1.615115307179587;-0.278623;-0.330884;2.38419e-07
-0.355843;0.07733400000000001;-1.5762853071795861;-0.278623;-0.330884;2.38419e-07
-0.356479;0.07423499999999994;-1.5374553071795862;-0.278623;-0.330884;2.38419e-07
-0.355883;0.07175100000000001;-1.6136953071795856;-0.278623;-0.330884;2.38419e-07
-0.356537;0.06617099999999998;-1.5762953071795858;-0.278623;-0.330884;2.38419e-07
-0.35594099999999995;0.06368699999999994;-1.5763053071795863;-0.278623;-0.330884;2.38419e-07
-0.355376;0.05686100000000005;-1.5402453071795863;-0.278623;-0.330884;2.38419e-07
-0.355389;0.05500000000000005;-1.5763053071795863;-0.278623;-0.330884;2.38419e-07
-0.355434;0.04879900000000004;-1.5763153071795868;-0.278623;-0.330884;2.38419e-07
-0.35607900000000003;0.044462;-1.5389353071795862;-0.278623;-0.330884;2.38419e-07
-0.355479;0.042598000000000025;-1.5763253071795864;-0.278623;-0.330884;2.38419e-07
