fish0_x;fish0_y;fish0_ori;fish1_x;fish1_y;fish1_ori
-0.347843;-0.089395;-1.841845307179586;-0.391999;-0.4821338;-2.8644653071795867
-0.347843;-0.089395;-1.841845307179586;-0.391999;-0.4821338;-2.8644653071795867
-0.34784800000000005;-0.09001399999999998;-1.8053353071795861;-0.388998;-0.4826833;-2.090555307179586
-0.347852;-0.09063299999999996;-1.7681953071795862;-0.391999;-0.4821338;-1.4379753071795864
-0.34726100000000004;-0.09373100000000001;-1.7971353071795866;-0.388998;-0.4826833;-1.1116853071795862
-0.348497;-0.09496199999999999;-1.7249053071795863;-0.388998;-0.4826833;-2.519335307179586
-0.347906;-0.09805900000000001;-1.7681953071795862;-0.391999;-0.4821338;3.06002
-0.34731500000000004;-0.10115600000000002;-1.7147953071795863;-0.389009;-0.482086;2.70811
-0.348551;-0.102387;-1.7249053071795863;-0.388411;-0.4820764;2.3913900000000003
-0.3492;-0.10733300000000001;-1.7305253071795867;-0.391999;-0.4821338;-1.5619953071795862
-0.347987;-0.10919600000000002;-1.6841953071795857;-0.390803;-0.4821147;-2.744495307179586
-0.348631;-0.11352299999999999;-1.651105307179586;-0.387802;-0.4826642;2.9474400000000003
-0.348649;-0.11599800000000005;-1.651105307179586;-0.391999;-0.4821338;-2.060565307179586
-0.34927600000000003;-0.11784999999999995;-1.6152953071795864;-0.390803;-0.4821147;-2.993785307179586
-0.348085;-0.12280599999999997;-1.6125253071795864;-0.391999;-0.4821338;-1.889585307179586
-0.34809900000000005;-0.12466099999999997;-1.648455307179586;-0.391999;-0.4821338;-1.3374853071795858
-0.348139;-0.13022799999999995;-1.5405153071795867;-0.390803;-0.4821147;-1.7088153071795862
-0.34815300000000005;-0.132083;-1.576525307179586;-0.388998;-0.4826833;-1.2471053071795861
-0.348171;-0.13455699999999998;-1.576525307179586;-0.390205;-0.4821051;-2.587045307179586
-0.348215;-0.140741;-1.4991153071795864;-0.390205;-0.4821051;3.02617
-0.347621;-0.143218;-1.5765353071795865;-0.388998;-0.4826833;2.69118
-0.346439;-0.14940900000000001;-1.5019853071795861;-0.389607;-0.4820955;-2.188695307179586
-0.346453;-0.15126399999999995;-1.5392153071795862;-0.390205;-0.4821051;-3.057845307179586
-0.345858;-0.15374000000000004;-1.5405453071795865;-0.390205;-0.4821051;2.79077
-0.345294;-0.160545;-1.5020053071795862;-0.388998;-0.4826833;2.3605400000000003
-0.34469000000000005;-0.161785;-1.4991453071795862;-0.388998;-0.4826833;2.3605400000000003
-0.344735;-0.167966;-1.4991553071795858;-0.391999;-0.4821338;-1.5697053071795857
-0.343527;-0.17044600000000004;-1.4991653071795863;-0.390803;-0.4821147;-1.177545307179586
-0.343545;-0.17291800000000002;-1.4226953071795858;-0.390205;-0.4821051;-2.5522753071795865
-0.34236500000000003;-0.17910600000000004;-1.4227053071795863;-0.391412;-0.4815269;-1.6688353071795863
-0.34177;-0.18158200000000002;-1.4283253071795867;-0.388998;-0.4826833;-2.7979153071795864
-0.339967;-0.18653600000000004;-1.4227253071795865;-0.388411;-0.4820764;-2.8593253071795863
-0.33938199999999996;-0.19024799999999997;-1.428345307179586;-0.388411;-0.4820764;-2.8593253071795863
-0.33940000000000003;-0.19271899999999997;-1.3562553071795858;-0.391999;-0.4821338;-1.8223553071795857
-0.337602;-0.198291;-1.3851453071795863;-0.391999;-0.4821338;-1.8300353071795863
-0.337012;-0.201384;-1.3562753071795868;-0.391999;-0.4821338;-1.8300353071795863
